iter	Passed	Remaining
0	158	158403
1	160	80138
2	162	53995
3	164	40879
4	166	33034
5	167	27766
6	169	23990
7	170	21163
8	172	18969
9	173	17211
10	175	15770
11	176	14568
12	178	13548
13	180	12684
14	181	11926
15	183	11262
16	184	10677
17	186	10160
18	187	9699
19	189	9297
20	191	8920
21	192	8576
22	194	8258
23	195	7968
24	197	7701
25	199	7458
26	200	7228
27	202	7017
28	203	6820
29	205	6635
30	206	6466
31	208	6310
32	210	6158
33	211	6013
34	213	5875
35	214	5745
36	216	5628
37	217	5518
38	219	5409
39	221	5305
40	222	5203
41	224	5114
42	225	5025
43	227	4938
44	228	4858
45	230	4780
46	232	4704
47	233	4635
48	235	4567
49	236	4499
50	238	4434
51	239	4371
52	241	4313
53	243	4263
54	245	4213
55	246	4162
56	248	4111
57	250	4063
58	251	4015
59	253	3967
60	254	3920
61	256	3877
62	257	3835
63	259	3793
64	260	3752
65	262	3712
66	263	3675
67	264	3628
68	266	3593
69	268	3562
70	269	3530
71	271	3504
72	273	3478
73	275	3451
74	277	3426
75	279	3400
76	281	3374
77	283	3348
78	285	3323
79	286	3297
80	288	3273
81	290	3248
82	291	3224
83	293	3199
84	294	3171
85	296	3149
86	297	3123
87	299	3104
88	301	3085
89	303	3067
90	305	3047
91	306	3028
92	308	3008
93	310	2989
94	311	2971
95	313	2956
96	315	2939
97	317	2923
98	319	2906
99	320	2888
100	322	2871
101	323	2848
102	325	2832
103	327	2820
104	329	2805
105	330	2789
106	332	2775
107	334	2760
108	335	2745
109	337	2731
110	339	2717
111	341	2704
112	342	2689
113	344	2675
114	345	2662
115	347	2647
116	349	2634
117	350	2621
118	352	2606
119	353	2594
120	355	2584
121	357	2572
122	358	2556
123	360	2545
124	361	2533
125	363	2522
126	365	2511
127	366	2496
128	368	2485
129	369	2475
130	371	2465
131	373	2457
132	375	2448
133	377	2439
134	379	2430
135	381	2421
136	383	2413
137	384	2402
138	386	2394
139	388	2386
140	390	2379
141	392	2371
142	394	2363
143	396	2355
144	398	2348
145	400	2341
146	402	2332
147	403	2325
148	405	2318
149	407	2311
150	409	2303
151	411	2296
152	413	2288
153	415	2281
154	417	2274
155	418	2266
156	420	2258
157	422	2251
158	423	2242
159	425	2235
160	427	2228
161	429	2220
162	430	2212
163	432	2204
164	434	2198
165	436	2191
166	438	2184
167	439	2178
168	442	2173
169	444	2167
170	445	2161
171	447	2155
172	449	2150
173	451	2144
174	453	2140
175	455	2134
176	458	2130
177	460	2125
178	462	2121
179	464	2117
180	466	2108
181	468	2105
182	470	2101
183	472	2095
184	474	2090
185	476	2085
186	478	2080
187	480	2075
188	482	2070
189	484	2064
190	486	2059
191	488	2056
192	490	2051
193	492	2046
194	494	2041
195	497	2040
196	499	2036
197	501	2032
198	503	2027
199	506	2026
200	510	2027
201	512	2023
202	514	2020
203	516	2016
204	518	2011
205	521	2008
206	523	2005
207	525	2000
208	527	1996
209	529	1991
210	531	1988
211	533	1984
212	536	1982
213	538	1979
214	541	1976
215	543	1972
216	545	1969
217	547	1964
218	549	1959
219	551	1956
220	553	1951
221	555	1946
222	557	1941
223	559	1936
224	560	1931
225	562	1927
226	564	1922
227	566	1917
228	568	1913
229	570	1909
230	572	1904
231	574	1900
232	575	1895
233	578	1892
234	579	1887
235	581	1882
236	583	1878
237	585	1873
238	587	1869
239	588	1864
240	590	1860
241	592	1855
242	594	1850
243	596	1846
244	597	1842
245	600	1839
246	601	1834
247	603	1829
248	605	1825
249	606	1820
250	608	1816
251	610	1812
252	612	1808
253	614	1804
254	616	1799
255	617	1795
256	619	1791
257	621	1787
258	623	1783
259	625	1779
260	627	1775
261	628	1771
262	630	1767
263	632	1763
264	634	1760
265	636	1756
266	638	1752
267	640	1748
268	642	1744
269	643	1740
270	645	1736
271	647	1732
272	648	1728
273	650	1723
274	652	1719
275	653	1715
276	655	1711
277	657	1707
278	659	1703
279	660	1699
280	662	1695
281	664	1691
282	666	1687
283	668	1684
284	670	1681
285	671	1677
286	673	1673
287	675	1669
288	677	1666
289	679	1662
290	681	1659
291	682	1655
292	685	1653
293	686	1649
294	688	1645
295	692	1646
296	694	1642
297	695	1639
298	697	1635
299	699	1631
300	701	1628
301	702	1624
302	704	1620
303	706	1616
304	708	1613
305	710	1610
306	712	1608
307	714	1605
308	716	1602
309	718	1599
310	720	1596
311	722	1593
312	724	1590
313	726	1586
314	728	1583
315	730	1580
316	732	1577
317	733	1573
318	735	1570
319	737	1567
320	739	1563
321	740	1560
322	742	1556
323	744	1553
324	746	1550
325	748	1547
326	750	1543
327	752	1540
328	753	1537
329	755	1534
330	757	1531
331	759	1527
332	761	1524
333	762	1521
334	764	1517
335	766	1514
336	768	1511
337	770	1508
338	772	1505
339	774	1502
340	775	1499
341	777	1496
342	779	1492
343	781	1489
344	783	1486
345	784	1483
346	786	1480
347	789	1478
348	791	1476
349	793	1473
350	795	1470
351	797	1467
352	799	1464
353	801	1462
354	803	1459
355	805	1456
356	807	1453
357	808	1450
358	810	1447
359	812	1444
360	814	1441
361	816	1438
362	818	1435
363	820	1432
364	821	1429
365	823	1426
366	825	1423
367	827	1421
368	829	1418
369	831	1416
370	833	1413
371	835	1410
372	837	1407
373	839	1404
374	841	1401
375	842	1398
376	845	1396
377	847	1393
378	848	1390
379	850	1387
380	852	1385
381	854	1382
382	856	1379
383	858	1377
384	860	1374
385	862	1371
386	864	1369
387	866	1366
388	867	1363
389	869	1360
390	871	1357
391	873	1354
392	875	1352
393	877	1349
394	879	1346
395	880	1343
396	882	1340
397	884	1338
398	886	1335
399	888	1333
400	891	1331
401	893	1329
402	895	1327
403	897	1324
404	899	1322
405	901	1319
406	904	1317
407	906	1314
408	907	1311
409	909	1309
410	911	1306
411	913	1304
412	915	1301
413	920	1302
414	923	1301
415	924	1298
416	926	1295
417	928	1293
418	931	1291
419	933	1288
420	935	1287
421	937	1284
422	939	1282
423	942	1280
424	945	1279
425	947	1277
426	951	1276
427	953	1274
428	956	1272
429	959	1272
430	961	1269
431	964	1268
432	966	1265
433	968	1263
434	970	1260
435	972	1258
436	974	1255
437	976	1253
438	979	1251
439	981	1249
440	983	1246
441	985	1244
442	987	1241
443	989	1238
444	991	1236
445	994	1235
446	997	1233
447	1000	1232
448	1002	1230
449	1004	1228
450	1006	1225
451	1009	1223
452	1011	1221
453	1013	1218
454	1015	1216
455	1017	1213
456	1019	1210
457	1021	1208
458	1023	1206
459	1025	1204
460	1027	1201
461	1029	1199
462	1031	1196
463	1033	1194
464	1035	1191
465	1037	1189
466	1040	1187
467	1042	1185
468	1044	1183
469	1047	1180
470	1049	1178
471	1052	1177
472	1054	1175
473	1057	1173
474	1060	1171
475	1062	1170
476	1065	1167
477	1067	1165
478	1069	1163
479	1071	1160
480	1073	1157
481	1075	1155
482	1076	1152
483	1078	1150
484	1081	1148
485	1083	1146
